Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
K562	ILF3-SF3B4	false	1.5998178420768454
K562	DDX3X-RBM22	false	1.4087372551039152
K562	DDX3X-ELAC2	false	1.3905488031650748
K562	DDX3X-EIF4E	false	1.3142656612908468
K562	LIN28B-UCHL5	false	1.306612450997818
K562	DDX3X-LIN28B	false	1.2693782691954993
K562	BUD13-EFTUD2	false	1.2521008249314036
K562	IGF2BP1-PUM2	false	1.157959526128252
K562	IGF2BP1-IGF2BP2	false	1.1212043917330448
K562	DDX3X-UCHL5	false	1.113314460257243
K562	DDX3X-RPS3	false	0.9835319001322205
K562	SF3B4-U2AF1	false	0.9614700589227141
K562	DDX3X-SF3B4	false	0.9256929660750757
K562	HNRNPK-SF3B4	false	0.9234701799543927
K562	ELAVL1-UCHL5	false	0.8761102721327916
K562	BUD13-RBFOX2	false	0.8671684962682775
K562	DDX3X-RBFOX2	false	0.8650673352203739
K562	BUD13-DDX3X	false	0.8430052073672414
K562	RBFOX2-UCHL5	false	0.8408346488067764
K562	IGF2BP1-LIN28B	false	0.8292487246944802
K562	BUD13-SF3B4	false	0.8052580268922611
K562	DDX3X-XRN2	false	0.7805023129258188
K562	LIN28B-U2AF1	false	0.7780811495145485
K562	SRSF1-UCHL5	false	0.754452008912267
K562	LIN28B-SRSF1	false	0.7202151229575975
K562	DDX3X-SRSF1	false	0.7037126182403881
K562	BUD13-UCHL5	false	0.6945725287605455
K562	DDX3X-DDX6	false	0.6852172025928667
K562	BUD13-RPS3	false	0.6675008346710456
K562	EFTUD2-UCHL5	false	0.6615080107840186
K562	EWSR1-UCHL5	false	0.65891150264315
K562	FMR1-UCHL5	false	0.6441325342293567
K562	EFTUD2-LIN28B	false	0.6409432213658874
K562	EFTUD2-RBM15	false	0.6369245215610135
K562	UCHL5-XRN2	false	0.6328455988882524
K562	RBM22-SF3B4	false	0.6227636803084806
K562	BUD13-LIN28B	false	0.6211922446582321
K562	BUD13-RBM15	false	0.6200671753395
K562	EWSR1-NONO	true	0.5802740588405868
K562	DDX3X-PUM2	false	0.5780691391555592
K562	DDX3X-EFTUD2	false	0.5598168063893354
K562	FAM120A-SF3B4	false	0.5507938333284983
K562	DDX3X-FUS	false	0.5443013200519999
K562	EIF4E-IGF2BP1	false	0.5424072940841143
K562	EFTUD2-IGF2BP2	false	0.5346940266613274
K562	EIF4E-IGF2BP2	false	0.5303052243234561
K562	FMR1-FXR1	false	0.530266503803432
K562	PUM2-SRSF1	false	0.5260567105578957
K562	TRA2A-UCHL5	false	0.523930370247399
K562	LIN28B-SF3B4	false	0.5177805879866355
K562	DDX3X-RBM15	false	0.5121054158880725
K562	PUM2-SF3B4	false	0.5114179220001915
K562	SF3B4-UCHL5	false	0.5100504185684258
K562	IGF2BP2-PCBP1	true	0.49004497864007135
K562	IGF2BP1-RBM22	false	0.48565347442490747
K562	IGF2BP1-UCHL5	false	0.4837758186768042
K562	LIN28B-RPS3	false	0.46485204245254863
K562	EFTUD2-FMR1	false	0.46187791996817396
K562	RPS3-SRSF1	false	0.4574132529160124
K562	DDX3X-IGF2BP1	false	0.45713227541637025
K562	FUS-IGF2BP2	false	0.45614526825374924
K562	FXR2-LIN28B	false	0.45599536296913357
K562	BUD13-TRA2A	false	0.45137577250716276
K562	BUD13-FMR1	false	0.4474326598265179
K562	SF3B4-TARDBP	false	0.44200970771271386
K562	DDX3X-GTF2F1	false	0.4385805551955855
K562	DDX3X-SMNDC1	false	0.43499214555777144
K562	DDX3X-ZC3H11A	false	0.4348603764519794
K562	FUS-LIN28B	false	0.4299471849162728
K562	MBNL1-SF3B4	false	0.4291993515798822
K562	SMNDC1-UCHL5	false	0.4214472022940754
K562	NONO-UCHL5	false	0.41831247622758383
K562	RBFOX2-SF3B4	true	0.41690635385384667
K562	FXR1-LIN28B	false	0.4152884937648196
K562	APOBEC3C-RPS3	false	0.41496720103896223
K562	DDX3X-HNRNPK	false	0.4137150268275036
K562	BUD13-XRN2	false	0.41353375039761886
K562	DDX3X-PCBP1	false	0.4124709786447056
K562	FUS-IGF2BP1	false	0.41162405192369533
K562	QKI-UCHL5	false	0.4112916925732861
K562	FXR1-IGF2BP1	false	0.4053010563313819
K562	FMR1-SF3B4	false	0.4036831125795288
K562	IGF2BP1-PCBP1	false	0.4018536698677053
K562	ELAC2-LIN28B	false	0.39832340086968543
K562	SF3B4-XRN2	false	0.39769198157591745
K562	DDX3X-TIA1	false	0.3952425577608665
K562	FXR1-PUM2	false	0.3947792467442923
K562	EFTUD2-SF3B4	false	0.39390249582356773
K562	RBFOX2-TIA1	false	0.3918716251369858
K562	FXR2-IGF2BP2	false	0.38486628516920973
K562	ELAVL1-TIA1	false	0.3836548396880062
K562	IGF2BP1-SF3B4	false	0.3795014796851319
K562	IGF2BP1-RPS3	false	0.3785479798225424
K562	EFTUD2-XRN2	false	0.3765353869239334
K562	BUD13-EWSR1	false	0.3759205998348989
K562	DDX3X-NONO	false	0.3746134152643208
K562	FXR1-IGF2BP2	false	0.37141154331220605
K562	RBM22-UCHL5	false	0.37092865542388154
K562	NONO-SF3B4	false	0.36922481084184255
K562	BUD13-SRSF1	false	0.3689367836341262
K562	IGF2BP1-U2AF2	false	0.3611560743629525
K562	ELAVL1-IGF2BP1	false	0.3601282673116657
K562	IGF2BP1-PTBP1	true	0.35716087428227183
K562	SRSF7-UCHL5	false	0.3527749132454119
K562	IGF2BP2-U2AF2	false	0.350651587741595
K562	SF3B4-SRSF1	false	0.3506185460034885
K562	RBM15-SF3B4	false	0.34996839163068216
K562	DDX6-EFTUD2	false	0.3495960479194764
K562	IGF2BP2-LIN28B	false	0.34842915950139286
K562	FMR1-RBM15	false	0.34783201944082975
K562	FMR1-FXR2	true	0.3466844278827921
K562	EFTUD2-RPS3	false	0.34325164863548707
K562	DDX3X-FXR1	false	0.3413776548113674
K562	BUD13-U2AF1	false	0.34064767369454785
K562	APOBEC3C-RBM22	false	0.34008658613311127
K562	DDX3X-FXR2	false	0.33653885768444525
K562	CSTF2T-NONO	true	0.33482117014864343
K562	DDX42-ELAVL1	false	0.33107659220695496
K562	EFTUD2-IGF2BP1	false	0.32470755272697716
K562	PUM2-U2AF2	false	0.32414652159786783
K562	EFTUD2-U2AF1	false	0.3231009645969607
K562	RPS3-U2AF2	false	0.3225851834022251
K562	RBM15-UCHL5	false	0.3197027051865007
K562	PUM2-UCHL5	false	0.31900565855175955
K562	FXR2-SRSF1	false	0.31755018096180265
K562	FXR1-SF3B4	false	0.3166195599769708
K562	IGF2BP1-SRSF1	false	0.3164811480937715
K562	EFTUD2-SRSF1	false	0.31300752304377966
K562	IGF2BP2-XRN2	false	0.3078013504637056
K562	LIN28B-NOLC1	false	0.306894930184626
K562	FMR1-IGF2BP1	false	0.3063122465434276
K562	CPEB4-SF3B4	false	0.30419305665418506
K562	ELAVL1-SRSF7	false	0.3037303052842617
K562	GTF2F1-UCHL5	false	0.2969051391000903
K562	RPS3-SF3B4	false	0.2967358115315619
K562	LIN28B-SRSF7	false	0.2956072283850517
K562	ELAVL1-RBM22	false	0.29211826631217264
K562	PUM2-TIA1	false	0.2905203058217012
K562	LIN28B-PUM2	false	0.2904292784205609
K562	FMR1-SRSF1	false	0.28503049873324926
K562	FAM120A-NONO	false	0.2850201427936554
K562	BUD13-SMNDC1	false	0.283631509548286
K562	GTF2F1-SF3B4	false	0.2830834946057621
K562	SRSF1-XRN2	false	0.278695338191028
K562	LIN28B-U2AF2	false	0.2781199791943436
K562	EIF4E-UCHL5	false	0.2752867354429327
K562	RBM15-ZC3H11A	false	0.27325059846043587
K562	FXR1-RPS3	false	0.2691111162130255
K562	EFTUD2-ELAVL1	false	0.26764436688972637
K562	MBNL1-UCHL5	false	0.26553560081811156
K562	QKI-SF3B4	false	0.26523536627792055
K562	BUD13-NONO	false	0.26482305841636844
K562	SRSF1-TRA2A	false	0.26335562126041623
K562	HNRNPK-IGF2BP2	false	0.26150270617290516
K562	RPS3-UCHL5	false	0.2595720043645997
K562	RBM15-RPS3	false	0.25946755703807867
K562	CSTF2T-ILF3	false	0.25943502187146805
K562	FMR1-RPS3	false	0.257434196802933
K562	ELAVL1-SF3B4	false	0.25589995840664415
K562	BUD13-FXR2	false	0.25455069679082953
K562	BUD13-FUS	false	0.2510572485125522
K562	FXR2-UCHL5	false	0.25079525742876285
K562	CSTF2T-UCHL5	false	0.24574934546194527
K562	DDX3X-FAM120A	false	0.24357914968277328
K562	FXR1-UCHL5	false	0.23369548305527132
K562	ILF3-UCHL5	false	0.23318835204645438
K562	FXR1-FXR2	true	0.2296085973503068
K562	PTBP1-UCHL5	false	0.2289603479039215
K562	IGF2BP1-RBM15	false	0.22512258617098269
K562	SF3B4-SRSF9	false	0.22198898834176362
K562	PCBP1-SF3B4	false	0.22198251133977465
K562	NONO-SRSF1	false	0.22049202438211069
K562	BUD13-IGF2BP2	false	0.2197642823048227
K562	LIN28B-SRSF9	false	0.21970602209330536
K562	DDX3X-ZC3H8	false	0.21967675862833858
K562	BUD13-RBM22	false	0.21882759063737467
K562	FMR1-PUM2	false	0.21687982014736917
K562	AKAP1-IGF2BP1	false	0.21672229003161192
K562	IGF2BP2-SRSF1	false	0.21611669306003023
K562	FXR2-IGF2BP1	false	0.2152585072265083
K562	TRA2A-U2AF1	false	0.21497631340753287
K562	SRSF1-U2AF1	false	0.21444587535552273
K562	IGF2BP1-TIA1	false	0.21182190726540284
K562	BUD13-IGF2BP1	false	0.20886154203253682
K562	SF3B4-TIA1	false	0.20744089304935187
K562	NOLC1-RBM15	false	0.20729868171383714
K562	FXR2-SF3B4	false	0.20726355735678226
K562	SF3B4-TRA2A	false	0.206542494110181
K562	EXOSC5-UCHL5	false	0.20616957500165256
K562	EFTUD2-FUS	false	0.20526104729037797
K562	PUM2-RBFOX2	true	0.2020685635834525
K562	NOLC1-UCHL5	false	0.19941955252670596
K562	DDX3X-ILF3	false	0.19927544193342328
K562	EFTUD2-PUM2	false	0.19665100222164256
K562	ELAVL1-RBM15	false	0.1940954823512584
K562	TIA1-UCHL5	false	0.193263277173628
K562	SMNDC1-SRSF1	false	0.1931887471000664
K562	PCBP1-XRN2	false	0.19231627057524747
K562	ELAVL1-LIN28B	false	0.19074131023853624
K562	AKAP1-FAM120A	false	0.1905195191502571
K562	IGF2BP2-RPS3	false	0.19019984890474007
K562	IGF2BP2-UCHL5	false	0.1901654088609348
K562	RBM15-SRSF1	false	0.19015320748803788
K562	IGF2BP2-TIA1	false	0.18878186712390743
K562	SRSF1-TIA1	false	0.18758639345651318
K562	IGF2BP2-SF3B4	false	0.18710118586022872
