Bait,Prey,Interaction_support,IP_interaction_type,PPI_support,bait_eclipped,prey_eclipped
BUD13,EFTUD2,IP,shielded,False,True,True
BUD13,FMR1,IP,direct,False,True,True
BUD13,FXR1,IP,mediated,False,True,True
BUD13,FXR2,IP,mediated,False,True,True
BUD13,PRPF8,IP,shielded,False,True,True
BUD13,RBM22,IP,direct,False,True,True
BUD13,SF3B4,IP,shielded,False,True,True
BUD13,SRSF7,IP,mediated,False,True,True
CPSF6,NCBP2,SEC,,True,True,True
CSTF2T,SRSF7,IP,mediated,False,True,True
DDX1,DDX21,SEC,,False,False,True
DDX1,DHX30,SEC,,False,False,True
DDX1,ELAVL1,SEC,,False,False,False
DDX1,GNL3,SEC,,True,False,True
DDX1,HNRNPL,SEC,,False,False,True
DDX1,IGF2BP1,SEC,,True,False,True
DDX1,IGF2BP2,SEC,,True,False,True
DDX1,ILF3,SEC,,True,False,True
DDX1,MATR3,SEC,,False,False,True
DDX1,PABPC4,SEC,,False,False,True
DDX1,RPS11,SEC,,False,False,True
DDX1,RPS6,SEC,,False,False,False
DDX1,TAF15,SEC,,True,False,True
DDX1,ZRANB2,SEC,,False,False,True
DDX21,DDX24,SEC,,True,True,True
DDX21,DHX30,SEC,,True,True,True
DDX21,EFTUD2,SEC,,True,True,True
DDX21,EXOSC10,SEC,,False,True,False
DDX21,EXOSC5,SEC,,False,True,True
DDX21,FXR2,SEC,,False,True,True
DDX21,GNL3,SEC,,True,True,True
DDX21,IGF2BP1,SEC,,True,True,True
DDX21,MATR3,SEC,,True,True,True
DDX21,NOLC1,SEC,,True,True,True
DDX21,NPM1,SEC,,True,True,True
DDX21,PABPC4,SEC,,False,True,True
DDX21,PRPF8,SEC,,True,True,True
DDX21,RPS11,SEC,,True,True,True
DDX21,RPS6,SEC,,True,True,False
DDX21,SERBP1,SEC,,True,True,True
DDX21,SF3B4,SEC,,False,True,True
DDX21,SRSF1,SEC,,False,True,True
DDX21,TRA2A,SEC,,True,True,True
DDX21,WDR43,SEC,,False,True,True
DDX24,DHX30,SEC,,False,True,True
DDX24,EXOSC10,SEC,,False,True,False
DDX24,GNL3,SEC,,True,True,True
DDX24,NPM1,SEC,,True,True,True
DDX24,RPS11,SEC,,False,True,True
DDX24,RPS6,SEC,,True,True,False
DDX24,WDR43,SEC,,False,True,True
DGCR8,DROSHA,IP,mediated,True,True,True
DGCR8,FMR1,IP,mediated,False,True,True
DGCR8,IGF2BP1,SEC,,False,True,True
DGCR8,NCBP2,both,mediated,False,True,True
DGCR8,PABPC4,both,mediated,False,True,True
DGCR8,RPS11,SEC,,False,True,True
DGCR8,RPS3,SEC,,False,True,True
DGCR8,RPS6,SEC,,False,True,False
DGCR8,SRSF1,SEC,,False,True,True
DGCR8,SRSF7,IP,mediated,False,True,True
DGCR8,TRA2A,SEC,,False,True,True
DHX30,ELAVL1,SEC,,True,True,False
DHX30,EXOSC10,SEC,,False,True,False
DHX30,EXOSC5,SEC,,False,True,True
DHX30,GNL3,SEC,,False,True,True
DHX30,HNRNPL,SEC,,False,True,True
DHX30,HNRNPU,SEC,,True,True,True
DHX30,HNRNPUL1,SEC,,False,True,True
DHX30,IGF2BP1,SEC,,False,True,True
DHX30,IGF2BP2,SEC,,False,True,True
DHX30,ILF3,SEC,,True,True,True
DHX30,MATR3,SEC,,False,True,True
DHX30,NPM1,SEC,,True,True,True
DHX30,PABPC4,SEC,,False,True,True
DHX30,PTBP1,SEC,,False,True,True
DHX30,RPS11,SEC,,False,True,True
DHX30,RPS3,SEC,,False,True,True
DHX30,RPS6,SEC,,True,True,False
DHX30,SRSF1,SEC,,False,True,True
DHX30,TAF15,SEC,,False,True,True
DHX30,UPF1,SEC,,False,True,True
DHX30,WDR43,SEC,,False,True,True
DHX30,ZRANB2,SEC,,False,True,True
EFTUD2,FXR2,SEC,,True,True,True
EFTUD2,IGF2BP1,SEC,,True,True,True
EFTUD2,MATR3,SEC,,True,True,True
EFTUD2,PABPC4,SEC,,True,True,True
EFTUD2,RPS11,SEC,,True,True,True
EFTUD2,RPS3,SEC,,True,True,True
EFTUD2,RPS6,SEC,,True,True,False
EFTUD2,SRSF1,SEC,,True,True,True
EFTUD2,TRA2A,SEC,,False,True,True
EIF4E,EIF3G,IP,shielded,True,False,True
EIF4E,PABPC4,IP,direct,True,False,True
EIF4E,RBM15,IP,shielded,False,False,True
EIF4E,SAFB,IP,shielded,False,False,True
EIF4E,SAFB2,IP,shielded,False,False,True
EIF4E,SRSF9,IP,shielded,False,False,True
EIF4E,TRA2A,IP,shielded,False,False,True
EIF4G2,EIF3G,IP,undetermined,False,True,True
EIF4G2,HNRNPUL1,IP,undetermined,False,True,True
EIF4G2,PABPC4,IP,undetermined,False,True,True
ELAVL1,HNRNPL,SEC,,True,False,True
ELAVL1,IGF2BP1,SEC,,True,False,True
ELAVL1,IGF2BP2,SEC,,True,False,True
ELAVL1,ILF3,SEC,,True,False,True
ELAVL1,MATR3,SEC,,True,False,True
ELAVL1,PABPC4,SEC,,True,False,True
ELAVL1,PTBP1,SEC,,True,False,True
ELAVL1,SRSF1,SEC,,True,False,True
ELAVL1,TAF15,SEC,,True,False,True
ELAVL1,UPF1,SEC,,True,False,True
ELAVL1,ZRANB2,SEC,,False,False,True
EWSR1,DHX30,IP,mediated,False,True,True
EWSR1,HNRNPC,IP,mediated,False,True,True
EWSR1,HNRNPM,IP,direct,True,True,True
EWSR1,HNRNPU,IP,mediated,True,True,True
EWSR1,HNRNPUL1,IP,mediated,True,True,True
EWSR1,IGF2BP1,IP,mediated,False,True,True
EWSR1,IGF2BP2,IP,mediated,False,True,True
EWSR1,ILF3,IP,shielded,True,True,True
EWSR1,KHDRBS1,IP,shielded,True,True,True
EWSR1,MATR3,IP,mediated,True,True,True
EWSR1,PABPC4,IP,mediated,False,True,True
EWSR1,RPS11,IP,mediated,False,True,True
EWSR1,SAFB,IP,mediated,True,True,True
EWSR1,TAF15,IP,direct,True,True,True
EXOSC10,EXOSC5,both,direct,True,False,True
EXOSC10,GNL3,SEC,,False,False,True
EXOSC10,NPM1,SEC,,True,False,True
EXOSC5,NPM1,SEC,,True,True,True
FUS,DDX1,IP,mediated,True,True,False
FUS,DHX30,IP,mediated,True,True,True
FUS,ELAVL1,IP,mediated,True,True,False
FUS,EWSR1,IP,direct,True,True,True
FUS,FAM120A,IP,mediated,False,True,True
FUS,HNRNPL,IP,mediated,True,True,True
FUS,HNRNPM,IP,mediated,True,True,True
FUS,HNRNPUL1,IP,direct,True,True,True
FUS,IGF2BP1,IP,mediated,True,True,True
FUS,IGF2BP2,IP,mediated,False,True,True
FUS,ILF3,IP,shielded,True,True,True
FUS,MATR3,IP,mediated,True,True,True
FUS,PABPC4,IP,mediated,False,True,True
FUS,SAFB,IP,direct,True,True,True
FUS,TAF15,IP,direct,True,True,True
FUS,U2AF2,IP,mediated,True,True,True
FUS,ZRANB2,IP,shielded,False,True,True
FXR2,IGF2BP1,SEC,,False,True,True
FXR2,MATR3,SEC,,False,True,True
FXR2,PABPC4,SEC,,False,True,True
FXR2,PRPF8,SEC,,False,True,True
FXR2,RPS11,SEC,,False,True,True
FXR2,RPS3,SEC,,False,True,True
FXR2,RPS6,SEC,,False,True,False
FXR2,SRSF1,SEC,,False,True,True
FXR2,TRA2A,SEC,,False,True,True
GNL3,NPM1,SEC,,True,True,True
GNL3,NSUN2,SEC,,False,True,True
GNL3,PABPC4,SEC,,False,True,True
GNL3,RPS11,SEC,,True,True,True
GNL3,RPS3,SEC,,True,True,True
GNL3,TAF15,SEC,,False,True,True
GPKOW,AQR,IP,shielded,False,True,True
GPKOW,BUD13,IP,direct,True,True,True
GPKOW,PRPF8,IP,shielded,True,True,True
GPKOW,RBM22,IP,shielded,False,True,True
HNRNPA1,NCBP2,SEC,,True,True,True
HNRNPA1,PRPF8,SEC,,True,True,True
HNRNPA1,SAFB2,SEC,,True,True,True
HNRNPA1,SRSF1,SEC,,True,True,True
HNRNPA1,TRA2A,SEC,,False,True,True
HNRNPC,HNRNPL,IP,mediated,True,True,True
HNRNPC,MATR3,IP,mediated,True,True,True
HNRNPC,RPS3,IP,shielded,False,True,True
HNRNPK,MATR3,SEC,,True,True,True
HNRNPK,PABPC4,SEC,,False,True,True
HNRNPL,CSTF2T,IP,mediated,False,True,True
HNRNPL,IGF2BP1,both,mediated,True,True,True
HNRNPL,IGF2BP2,both,mediated,True,True,True
